id,question,answer,tags,difficulty
fc001,"In Azure AI Search, which feature allows you to combine multiple data sources into a single searchable index?",Indexers,"Knowledge Mining, Azure AI Search",Easy
fc002,Which Azure service provides a hosted environment for building and deploying conversational AI bots?,Azure Bot Service,"Conversational AI, Azure Bot Service",Medium
fc003,"In Azure AI Vision, which capability detects and extracts printed text from images?",Optical Character Recognition (OCR),"Computer Vision, Azure AI Vision",Hard
fc004,What is the primary benefit of using a custom question answering project in Azure AI Language over a prebuilt one?,It allows you to upload and manage your own knowledge base for domain-specific Q&A.,"Natural Language Processing, Azure AI Language",Easy
fc005,Which Azure feature helps you apply ethical principles and assess potential harm in AI solutions?,Responsible AI Standard and Responsible AI Dashboard,"Governance, Responsible AI",Medium
fc006,"In Azure AI Search, which feature allows you to combine multiple data sources into a single searchable index?",Indexers,"Knowledge Mining, Azure AI Search",Medium
fc007,Which Azure service provides a hosted environment for building and deploying conversational AI bots?,Azure Bot Service,"Conversational AI, Azure Bot Service",Hard
fc008,"In Azure AI Vision, which capability detects and extracts printed text from images?",Optical Character Recognition (OCR),"Computer Vision, Azure AI Vision",Easy
fc009,What is the primary benefit of using a custom question answering project in Azure AI Language over a prebuilt one?,It allows you to upload and manage your own knowledge base for domain-specific Q&A.,"Natural Language Processing, Azure AI Language",Medium
fc010,Which Azure feature helps you apply ethical principles and assess potential harm in AI solutions?,Responsible AI Standard and Responsible AI Dashboard,"Governance, Responsible AI",Hard
fc011,"In Azure AI Search, which feature allows you to combine multiple data sources into a single searchable index?",Indexers,"Knowledge Mining, Azure AI Search",Hard
fc012,Which Azure service provides a hosted environment for building and deploying conversational AI bots?,Azure Bot Service,"Conversational AI, Azure Bot Service",Easy
fc013,"In Azure AI Vision, which capability detects and extracts printed text from images?",Optical Character Recognition (OCR),"Computer Vision, Azure AI Vision",Medium
fc014,What is the primary benefit of using a custom question answering project in Azure AI Language over a prebuilt one?,It allows you to upload and manage your own knowledge base for domain-specific Q&A.,"Natural Language Processing, Azure AI Language",Hard
fc015,Which Azure feature helps you apply ethical principles and assess potential harm in AI solutions?,Responsible AI Standard and Responsible AI Dashboard,"Governance, Responsible AI",Easy
fc016,"In Azure AI Search, which feature allows you to combine multiple data sources into a single searchable index?",Indexers,"Knowledge Mining, Azure AI Search",Easy
fc017,Which Azure service provides a hosted environment for building and deploying conversational AI bots?,Azure Bot Service,"Conversational AI, Azure Bot Service",Medium
